WKT,name,description
"POLYGON ((-78.4976046 -0.1287198, -78.4977396 -0.1287682, -78.4978826 -0.1287957, -78.497981 -0.1285023, -78.4979963 -0.128415, -78.4979195 -0.1283258, -78.4979655 -0.1281565, -78.498014 -0.1279645, -78.4980959 -0.1279728, -78.4980882 -0.1280668, -78.4980188 -0.1280695, -78.4980115 -0.1281689, -78.498076 -0.1281775, -78.4980449 -0.1285179, -78.4980042 -0.128791, -78.4977244 -0.1288407, -78.4965746 -0.1288475, -78.496605 -0.1281892, -78.496643 -0.1281862, -78.4966432 -0.1281016, -78.496807 -0.1281424, -78.4967789 -0.1282647, -78.4968238 -0.1282991, -78.4967712 -0.1284879, -78.4968951 -0.1285287, -78.4969463 -0.1284767, -78.4970463 -0.1285012, -78.4970604 -0.1285311, -78.4971024 -0.1285414, -78.4971604 -0.1285489, -78.4972282 -0.1285051, -78.4972882 -0.1283221, -78.4973062 -0.1282512, -78.497697 -0.128366, -78.4976494 -0.128563, -78.4976046 -0.1287198))",Parqueadero Consulta Externa,
"POLYGON ((-78.4981338 -0.1274512, -78.4979877 -0.127449, -78.4979012 -0.1277055, -78.4978352 -0.1279463, -78.4977525 -0.1279166, -78.4977917 -0.1277702, -78.4978048 -0.1277008, -78.4978153 -0.1276287, -78.4977986 -0.1276186, -78.4976983 -0.1275836, -78.4977053 -0.1275513, -78.4976817 -0.127543, -78.4976608 -0.1275347, -78.4977153 -0.1273126, -78.4977742 -0.1273269, -78.4978009 -0.1272805, -78.4978531 -0.1272876, -78.4979788 -0.1273273, -78.4979786 -0.1273015, -78.4980039 -0.1273079, -78.4980283 -0.1272369, -78.4981466 -0.1272624, -78.4981338 -0.1274512))",Parqueadero Emergencias,
"POLYGON ((-78.4969031 -0.127796, -78.4967178 -0.127759, -78.4967976 -0.127394, -78.4968557 -0.1274113, -78.4969169 -0.1274267, -78.4969486 -0.1274286, -78.4969977 -0.1274391, -78.4969857 -0.1274636, -78.4969791 -0.1274881, -78.4969606 -0.1275424, -78.4969397 -0.1276028, -78.4969031 -0.127796))",Parqueadero Subsuelo,
